region,year,tourism_spending,tourism_spending_prev_year,destination_search,avg_stay_time,avg_lodging_days,visitor_count,date,tourism_spending_recovery_rate
강원특별자치도,2020,3891453924.0,4185676174.0,25880521.0,1851.0,2.650555555555556,131065291.0,2020-01-01,0.9297073548528172
강원특별자치도,2021,4321700635.0,3891453924.0,29440143.0,1743.9444444444443,2.6283333333333334,130221676.0,2021-01-01,1.1105619440452612
강원특별자치도,2022,5191720526.0,4321700635.0,34960754.0,1809.055555555556,2.631111111111111,153264262.0,2022-01-01,1.201314242813119
강원특별자치도,2023,5091023475.0,5191720526.0,33780194.0,1658.611111111111,2.600555555555556,151848858.0,2023-01-01,0.9806043005405025
강원특별자치도,2024,4939740736.0,5091023475.0,34850405.0,1440.8333333333333,2.5933333333333333,146618304.0,2024-01-01,0.9702844153552052
강원특별자치도,2025,4954400837.0,4939740736.0,35310587.0,1468.2777777777778,2.6277777777777778,151235214.0,2025-01-01,1.0029677875385563
경기도,2020,30006978746.0,32741813488.0,89849809.0,1248.741935483871,2.855806451612904,548938292.0,2020-01-01,0.9164727163630589
경기도,2021,32599665558.0,30006978746.0,111095609.0,1201.4193548387098,2.8806451612903223,550778084.0,2021-01-01,1.0864027942948309
경기도,2022,37491921201.0,32599665558.0,132302961.0,1226.516129032258,2.841290322580645,602401426.0,2022-01-01,1.1500707310722529
경기도,2023,37797440277.0,37491921201.0,142289587.0,1206.483870967742,2.8351612903225805,627366383.0,2023-01-01,1.0081489309219995
경기도,2024,37739892525.0,37797440277.0,157174855.0,1109.0645161290322,2.855483870967742,625437908.0,2024-01-01,0.9984774695963997
경기도,2025,37294288701.0,37739892525.0,149636932.0,1140.354838709677,2.915483870967742,660044175.0,2025-01-01,0.9881927638319368
경상남도,2020,4606978652.0,5046812959.0,15548967.0,1501.4444444444443,2.685555555555556,139194072.0,2020-01-01,0.9128490969304417
경상남도,2021,4963763241.0,4606978652.0,18327070.0,1446.1666666666667,2.7033333333333336,140211858.0,2021-01-01,1.077444376445094
경상남도,2022,5679435819.0,4963763241.0,21358632.0,1399.6666666666667,2.643333333333333,149980943.0,2022-01-01,1.1441794346854908
경상남도,2023,5573032874.0,5679435819.0,22131964.0,1375.8333333333333,2.6416666666666666,155312930.0,2023-01-01,0.9812652262670106
경상남도,2024,5569019559.0,5573032874.0,25779078.0,1276.4444444444443,2.6666666666666665,157232103.0,2024-01-01,0.9992798687732988
경상남도,2025,5648752031.0,5569019559.0,24774686.0,1286.8333333333333,2.710555555555556,166687846.0,2025-01-01,1.0143171470588832
경상북도,2020,4102416024.0,4667035383.0,13342115.0,1842.2727272727277,2.731818181818182,152541333.0,2020-01-01,0.879019696088728
경상북도,2021,4803529317.0,4102416024.0,17471020.0,1800.590909090909,2.7345454545454544,161251041.0,2021-01-01,1.1709025337504386
경상북도,2022,5495941826.0,4803529317.0,20638967.0,1853.5454545454545,2.7113636363636364,177343260.0,2022-01-01,1.144146618726674
경상북도,2023,5433864744.0,5495941826.0,21140195.0,1676.4545454545455,2.6681818181818184,180116114.0,2023-01-01,0.988704923748223
경상북도,2024,5386215895.0,5433864744.0,23557272.0,1466.6363636363635,2.683181818181818,178592992.0,2024-01-01,0.9912311308350814
경상북도,2025,5454552247.0,5386215895.0,22898763.0,1479.3636363636365,2.727272727272727,187787058.0,2025-01-01,1.012687265667059
광주광역시,2020,2495440190.0,2859690182.0,4050259.0,1367.2,2.898,56610108.0,2020-01-01,0.872626064776971
광주광역시,2021,2687549060.0,2495440190.0,5111334.0,1284.4,2.942,56231056.0,2021-01-01,1.0769839608938894
광주광역시,2022,3026998388.0,2687549060.0,6227895.0,1394.8,2.976,63615948.0,2022-01-01,1.1263044210251552
광주광역시,2023,3039315121.0,3026998388.0,7283305.0,1212.0,2.904,66257320.0,2023-01-01,1.0040689592200733
광주광역시,2024,3089440511.0,3039315121.0,8101653.0,1091.4,2.916,66355821.0,2024-01-01,1.0164923306746514
광주광역시,2025,3123045762.0,3089440511.0,7685533.0,1143.4,2.978,70979688.0,2025-01-01,1.0108774552804458
대구광역시,2020,4140373870.0,4984089430.0,7220256.0,1037.888888888889,2.838888888888889,86201112.0,2020-01-01,0.8307182140590121
대구광역시,2021,4760856607.0,4140373870.0,9493659.0,991.4444444444443,2.84,87651389.0,2021-01-01,1.1498615237372272
대구광역시,2022,5525225960.0,4760856607.0,11927080.0,1065.7777777777778,2.848888888888889,98772936.0,2022-01-01,1.1605529038358622
대구광역시,2023,5782765383.0,5525225960.0,13860327.0,943.1111111111112,2.79,102614956.0,2023-01-01,1.046611563918736
대구광역시,2024,5943306484.0,5782765383.0,15392949.0,891.6666666666666,2.802222222222222,105352492.0,2024-01-01,1.0277619945419114
대구광역시,2025,5923932214.0,5943306484.0,14742815.0,905.5555555555557,2.842222222222222,112428992.0,2025-01-01,0.996740152968359
대전광역시,2020,3488165950.0,5126310535.0,5611618.0,1219.2,2.834,69473159.0,2020-01-01,0.6804437472495021
대전광역시,2021,3464904244.0,3488165950.0,7268576.0,1180.0,2.852,69111136.0,2021-01-01,0.993331250194676
대전광역시,2022,4265912683.0,3464904244.0,9309937.0,1144.2,2.794,75608788.0,2022-01-01,1.2311776553095417
대전광역시,2023,4649415144.0,4265912683.0,10641339.0,1090.4,2.78,82009340.0,2023-01-01,1.0898992758403818
대전광역시,2024,4735938749.0,4649415144.0,12033403.0,1001.0,2.7880000000000003,84639908.0,2024-01-01,1.0186095675090785
대전광역시,2025,4758753663.0,4735938749.0,11691653.0,1008.2,2.816,90947902.0,2025-01-01,1.004817400563894
부산광역시,2020,7070856693.0,8276811876.0,15650991.0,978.875,2.830625,124725884.0,2020-01-01,0.8542971374646234
부산광역시,2021,7551815521.0,7070856693.0,18863671.0,952.125,2.865625,123660862.0,2021-01-01,1.0680198806003436
