date,region,visitor_count,unique_visitors,tourism_spending,destination_search,avg_stay_time,avg_lodging_days,lodging_visitor_ratio,population,grdp,accommodation_business_count,restaurant_business_count,year,month,quarter
2020-01-01,강원특별자치도,960919.0,693831.0,68709723177.0,64795.0,4.4,1.59,0.225,712628,32780888000000,421,48320,2020,1,1
2020-02-01,강원특별자치도,960026.0,837124.0,53450434486.0,107118.0,4.86,1.52,0.244,712628,32780888000000,421,48320,2020,2,1
2020-03-01,강원특별자치도,1082505.0,907680.0,90648576961.0,124003.0,4.57,1.25,0.189,712628,32780888000000,421,48320,2020,3,1
2020-04-01,강원특별자치도,1041552.0,802826.0,70635836990.0,72485.0,3.75,1.17,0.307,712628,32780888000000,421,48320,2020,4,2
2020-05-01,강원특별자치도,1090717.0,919866.0,82643976820.0,107689.0,3.38,1.49,0.164,712628,32780888000000,421,48320,2020,5,2
2020-06-01,강원특별자치도,1013068.0,784553.0,47841420771.0,77438.0,4.27,1.33,0.254,712628,32780888000000,421,48320,2020,6,2
2020-07-01,강원특별자치도,1150392.0,1001532.0,59085203749.0,121724.0,3.95,1.83,0.216,712628,32780888000000,421,48320,2020,7,3
2020-08-01,강원특별자치도,1193513.0,876710.0,61534725526.0,138786.0,3.74,1.79,0.304,712628,32780888000000,421,48320,2020,8,3
2020-09-01,강원특별자치도,792206.0,599277.0,56669890693.0,64452.0,4.42,1.53,0.173,712628,32780888000000,421,48320,2020,9,3
2020-10-01,강원특별자치도,758546.0,549042.0,40676937738.0,56321.0,5.65,1.73,0.149,712628,32780888000000,421,48320,2020,10,4
2020-11-01,강원특별자치도,899104.0,688039.0,71226191589.0,64956.0,5.4,1.86,0.252,712628,32780888000000,421,48320,2020,11,4
2020-12-01,강원특별자치도,853546.0,702551.0,39804440360.0,86552.0,5.38,1.33,0.251,712628,32780888000000,421,48320,2020,12,4
2021-01-01,강원특별자치도,958839.0,737946.0,46875409155.0,65997.0,5.23,1.28,0.242,712628,32780888000000,421,48320,2021,1,1
2021-02-01,강원특별자치도,1078982.0,815044.0,89969025376.0,75207.0,4.77,1.54,0.403,712628,32780888000000,421,48320,2021,2,1
2021-03-01,강원특별자치도,1255911.0,999982.0,67285014107.0,87881.0,5.52,1.37,0.314,712628,32780888000000,421,48320,2021,3,1
2021-04-01,강원특별자치도,1396126.0,1062435.0,117894658736.0,145582.0,4.33,1.73,0.284,712628,32780888000000,421,48320,2021,4,2
2021-05-01,강원특별자치도,1124051.0,937350.0,93412807164.0,96023.0,4.66,1.53,0.255,712628,32780888000000,421,48320,2021,5,2
2021-06-01,강원특별자치도,1146482.0,875106.0,94825042636.0,107927.0,2.71,1.65,0.313,712628,32780888000000,421,48320,2021,6,2
2021-07-01,강원특별자치도,1301152.0,1109525.0,78616693214.0,140051.0,3.43,1.49,0.312,712628,32780888000000,421,48320,2021,7,3
2021-08-01,강원특별자치도,1357518.0,1156751.0,83783542353.0,85627.0,5.25,1.94,0.185,712628,32780888000000,421,48320,2021,8,3
2021-09-01,강원특별자치도,1048515.0,801335.0,74966267972.0,74639.0,4.57,1.53,0.4,712628,32780888000000,421,48320,2021,9,3
2021-10-01,강원특별자치도,878416.0,733258.0,57351915472.0,64091.0,4.13,1.41,0.31,712628,32780888000000,421,48320,2021,10,4
2021-11-01,강원특별자치도,1016654.0,807741.0,75697005970.0,76382.0,4.76,1.13,0.252,712628,32780888000000,421,48320,2021,11,4
2021-12-01,강원특별자치도,1088227.0,926122.0,74072255276.0,75293.0,3.95,1.64,0.392,712628,32780888000000,421,48320,2021,12,4
2022-01-01,강원특별자치도,1336862.0,1170521.0,92245303428.0,107615.0,5.35,1.27,0.281,712628,32780888000000,421,48320,2022,1,1
2022-02-01,강원특별자치도,1481199.0,1196092.0,91331196752.0,130947.0,4.4,1.32,0.341,712628,32780888000000,421,48320,2022,2,1
2022-03-01,강원특별자치도,1535213.0,1124892.0,96961202118.0,107357.0,5.11,1.53,0.418,712628,32780888000000,421,48320,2022,3,1
2022-04-01,강원특별자치도,1398517.0,1032265.0,66140188442.0,110936.0,5.17,1.78,0.28,712628,32780888000000,421,48320,2022,4,2
2022-05-01,강원특별자치도,1427155.0,1243854.0,106958433832.0,165279.0,6.16,0.93,0.28,712628,32780888000000,421,48320,2022,5,2
2022-06-01,강원특별자치도,1393334.0,1108878.0,95622013438.0,133809.0,4.29,1.32,0.171,712628,32780888000000,421,48320,2022,6,2
2022-07-01,강원특별자치도,1693558.0,1407302.0,140975533263.0,179064.0,4.86,1.06,0.296,712628,32780888000000,421,48320,2022,7,3
2022-08-01,강원특별자치도,1667519.0,1348096.0,109361334057.0,152944.0,5.89,1.51,0.089,712628,32780888000000,421,48320,2022,8,3
2022-09-01,강원특별자치도,1178419.0,864300.0,57821049169.0,101550.0,4.41,1.21,0.426,712628,32780888000000,421,48320,2022,9,3
2022-10-01,강원특별자치도,1145314.0,873257.0,95818127140.0,132122.0,3.57,0.82,0.266,712628,32780888000000,421,48320,2022,10,4
2022-11-01,강원특별자치도,984872.0,852600.0,45392460530.0,91759.0,4.57,1.41,0.407,712628,32780888000000,421,48320,2022,11,4
2022-12-01,강원특별자치도,1461714.0,1085453.0,95488952791.0,125340.0,5.07,1.29,0.317,712628,32780888000000,421,48320,2022,12,4
2023-01-01,강원특별자치도,1497034.0,1255075.0,72048403026.0,141632.0,3.79,1.79,0.246,712628,32780888000000,421,48320,2023,1,1
2023-02-01,강원특별자치도,1576787.0,1115082.0,100792046465.0,149254.0,3.66,0.88,0.33,712628,32780888000000,421,48320,2023,2,1
2023-03-01,강원특별자치도,1660269.0,1271806.0,82447942414.0,175981.0,4.57,1.52,0.349,712628,32780888000000,421,48320,2023,3,1
2023-04-01,강원특별자치도,1654160.0,1345723.0,106181382792.0,147090.0,5.52,1.2,0.344,712628,32780888000000,421,48320,2023,4,2
