기준연월,방문자수,전년동기 방문자수,방문자수 증감률,관광지출액,전년동기 관광지출액,관광지출액 증감률
202001,24372.0,21603.0,12.8,11902.0,12389.0,-3.9
202002,17853.0,22037.0,-19.0,9162.0,11242.0,-18.5
202003,17702.0,27120.0,-34.7,8707.0,13073.0,-33.4
202004,18499.0,20723.0,-10.7,9659.0,11604.0,-16.8
202005,22123.0,23960.0,-7.7,11478.0,12886.0,-10.9
202006,20216.0,22976.0,-12.0,10768.0,12150.0,-11.4
202007,22437.0,26237.0,-14.5,11069.0,12068.0,-8.3
202008,22330.0,29304.0,-23.8,11031.0,13128.0,-16.0
202009,19717.0,26962.0,-26.9,10470.0,11960.0,-12.4
202010,23523.0,25287.0,-7.0,11455.0,12860.0,-10.9
202011,20358.0,25284.0,-19.5,10721.0,12546.0,-14.5
202012,17595.0,23321.0,-24.6,9097.0,13041.0,-30.2
