인기연령대,방문집중지역,연령,남성 방문자 비율,여성 방문자 비율
10대,경상남도 거제시,70세 이상,1.9,1.6
10대,경상남도 거제시,60~69세,7.6,5.3
10대,경상남도 거제시,50~59세,12.7,10.0
10대,경상남도 거제시,40~49세,12.6,10.2
10대,경상남도 거제시,30~39세,8.8,7.1
10대,경상남도 거제시,20~29세,6.4,5.6
10대,경상남도 거제시,10~19세,5.3,5.0
10대,광주광역시 남구,70세 이상,3.8,4.2
10대,광주광역시 남구,60~69세,7.2,7.2
10대,광주광역시 남구,50~59세,9.5,9.8
10대,광주광역시 남구,40~49세,8.8,8.5
10대,광주광역시 남구,30~39세,7.1,6.9
10대,광주광역시 남구,20~29세,8.3,8.5
10대,광주광역시 남구,10~19세,4.7,5.3
10대,대구광역시 수성구,70세 이상,3.3,3.5
10대,대구광역시 수성구,60~69세,7.1,6.6
10대,대구광역시 수성구,50~59세,10.1,10.8
10대,대구광역시 수성구,40~49세,8.9,9.0
10대,대구광역시 수성구,30~39세,7.3,6.4
10대,대구광역시 수성구,20~29세,8.6,8.0
10대,대구광역시 수성구,10~19세,5.5,5.0
10대,서울특별시 양천구,70세 이상,3.0,3.0
10대,서울특별시 양천구,60~69세,7.0,6.8
10대,서울특별시 양천구,50~59세,9.3,9.5
10대,서울특별시 양천구,40~49세,9.5,9.0
10대,서울특별시 양천구,30~39세,8.4,7.7
10대,서울특별시 양천구,20~29세,7.6,8.1
10대,서울특별시 양천구,10~19세,5.6,5.5
10대,전라남도 목포시,70세 이상,3.2,3.5
10대,전라남도 목포시,60~69세,7.2,6.7
10대,전라남도 목포시,50~59세,10.4,10.0
10대,전라남도 목포시,40~49세,9.9,8.7
10대,전라남도 목포시,30~39세,7.6,6.1
10대,전라남도 목포시,20~29세,8.7,7.9
10대,전라남도 목포시,10~19세,5.1,5.1
