시도명,관광지출액,전년도 관광지출액
서울특별시,4.2524560053E10,3.5670616666E10
부산광역시,8.758019146E9,7.551815521E9
대구광역시,5.52522596E9,4.760856607E9
인천광역시,7.411856855E9,6.045818214E9
광주광역시,3.026998388E9,2.68754906E9
대전광역시,4.265912683E9,3.464904244E9
울산광역시,2.258849505E9,1.911772527E9
세종특별자치시,4.77718358E8,4.34128262E8
경기도,3.7491921201E10,3.2599665558E10
충청북도,5.505145839E9,4.768387368E9
충청남도,5.459352559E9,4.693177045E9
전라남도,3.606604403E9,3.125186883E9
경상북도,5.495941826E9,4.803529317E9
경상남도,5.679435819E9,4.963763241E9
제주특별자치도,3.466068411E9,2.917419692E9
강원특별자치도,5.191720526E9,4.321700635E9
전북특별자치도,3.265518633E9,2.772365655E9
