시도명,시군구명,평균 체류시간,평균 숙박일수
서울특별시,종로구,344.0,2.61
서울특별시,중구,272.0,2.62
서울특별시,용산구,419.0,2.64
서울특별시,성동구,783.0,2.91
서울특별시,광진구,796.0,2.86
서울특별시,동대문구,1029.0,3.01
서울특별시,중랑구,1211.0,2.95
서울특별시,성북구,1258.0,3.06
서울특별시,강북구,1132.0,2.87
서울특별시,도봉구,1034.0,2.98
서울특별시,노원구,979.0,3.03
서울특별시,은평구,1457.0,3.0
서울특별시,서대문구,766.0,2.87
서울특별시,마포구,577.0,2.65
서울특별시,양천구,1151.0,3.07
서울특별시,강서구,903.0,2.9
서울특별시,구로구,862.0,2.98
서울특별시,금천구,1122.0,2.95
서울특별시,영등포구,635.0,2.78
서울특별시,동작구,955.0,3.05
서울특별시,관악구,1275.0,2.9
서울특별시,서초구,442.0,2.85
서울특별시,강남구,564.0,2.82
서울특별시,송파구,793.0,2.88
서울특별시,강동구,1318.0,3.08
부산광역시,중구,336.0,2.53
부산광역시,서구,840.0,2.85
부산광역시,동구,398.0,2.61
부산광역시,영도구,836.0,2.86
부산광역시,부산진구,814.0,2.74
부산광역시,동래구,891.0,2.92
부산광역시,남구,1189.0,2.98
부산광역시,북구,1144.0,2.98
부산광역시,해운대구,908.0,2.66
부산광역시,사하구,1415.0,3.05
부산광역시,금정구,1051.0,3.07
부산광역시,강서구,587.0,2.78
부산광역시,연제구,916.0,2.91
부산광역시,수영구,760.0,2.62
부산광역시,사상구,912.0,2.86
부산광역시,기장군,662.0,2.6
대구광역시,중구,403.0,2.59
대구광역시,동구,781.0,2.76
대구광역시,서구,889.0,2.81
대구광역시,남구,869.0,2.9
대구광역시,북구,1148.0,2.95
대구광역시,수성구,1051.0,2.9
대구광역시,달서구,1270.0,2.96
대구광역시,달성군,1084.0,2.92
대구광역시,군위군,530.0,2.43
인천광역시,중구,461.0,2.37
인천광역시,동구,790.0,2.93
인천광역시,미추홀구,1203.0,2.94
인천광역시,연수구,1276.0,2.95
인천광역시,남동구,1069.0,2.88
인천광역시,부평구,1245.0,2.88
