인기연령대,방문집중지역,연령,남성 방문자 비율,여성 방문자 비율,year,source_group
10대,경기도 용인시 수지구,70세 이상,4.5,5.0,2025,20260528234642
10대,경기도 용인시 수지구,60~69세,6.9,7.0,2025,20260528234642
10대,경기도 용인시 수지구,50~59세,8.9,9.8,2025,20260528234642
10대,경기도 용인시 수지구,40~49세,9.4,9.2,2025,20260528234642
10대,경기도 용인시 수지구,30~39세,8.1,7.8,2025,20260528234642
10대,경기도 용인시 수지구,20~29세,6.0,6.1,2025,20260528234642
10대,경기도 용인시 수지구,10~19세,5.0,4.9,2025,20260528234642
10대,경기도 용인시 수지구,0~9세,0.6,0.8,2025,20260528234642
10대,대구광역시 수성구,70세 이상,4.3,4.9,2025,20260528234642
10대,대구광역시 수성구,60~69세,8.3,8.7,2025,20260528234642
10대,대구광역시 수성구,50~59세,9.5,11.0,2025,20260528234642
10대,대구광역시 수성구,40~49세,8.1,8.1,2025,20260528234642
10대,대구광역시 수성구,30~39세,7.5,6.8,2025,20260528234642
10대,대구광역시 수성구,20~29세,6.2,5.9,2025,20260528234642
10대,대구광역시 수성구,10~19세,4.8,4.4,2025,20260528234642
10대,대구광역시 수성구,0~9세,0.6,0.8,2025,20260528234642
10대,서울특별시 양천구,70세 이상,4.5,4.9,2025,20260528234642
10대,서울특별시 양천구,60~69세,7.8,8.3,2025,20260528234642
10대,서울특별시 양천구,50~59세,9.0,9.2,2025,20260528234642
10대,서울특별시 양천구,40~49세,8.8,8.5,2025,20260528234642
10대,서울특별시 양천구,30~39세,8.0,7.4,2025,20260528234642
10대,서울특별시 양천구,20~29세,5.6,5.9,2025,20260528234642
10대,서울특별시 양천구,10~19세,5.7,5.4,2025,20260528234642
10대,서울특별시 양천구,0~9세,0.5,0.6,2025,20260528234642
10대,세종특별자치시 ,70세 이상,2.9,2.9,2025,20260528234642
10대,세종특별자치시 ,60~69세,7.1,6.4,2025,20260528234642
10대,세종특별자치시 ,50~59세,9.4,8.5,2025,20260528234642
10대,세종특별자치시 ,40~49세,10.2,9.4,2025,20260528234642
10대,세종특별자치시 ,30~39세,10.2,9.2,2025,20260528234642
10대,세종특별자치시 ,20~29세,6.5,6.1,2025,20260528234642
10대,세종특별자치시 ,10~19세,4.8,4.9,2025,20260528234642
10대,세종특별자치시 ,0~9세,0.7,0.9,2025,20260528234642
10대,전라남도 무안군,70세 이상,3.2,3.2,2025,20260528234642
10대,전라남도 무안군,60~69세,8.2,6.5,2025,20260528234642
10대,전라남도 무안군,50~59세,11.3,9.4,2025,20260528234642
10대,전라남도 무안군,40~49세,9.5,8.5,2025,20260528234642
10대,전라남도 무안군,30~39세,7.9,7.1,2025,20260528234642
10대,전라남도 무안군,20~29세,7.1,5.7,2025,20260528234642
10대,전라남도 무안군,10~19세,5.2,5.1,2025,20260528234642
10대,전라남도 무안군,0~9세,0.9,1.2,2025,20260528234642
