rank,region,attraction_name,address,category_mid,category_small,source_group,year
1,경기도,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰,20260528234642,2025
2,경기도,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑,쇼핑몰,20260528234642,2025
3,경기도,스타필드수원,경기 수원시 장안구 수성로 175-0,쇼핑,쇼핑몰,20260528234642,2025
4,경기도,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑,쇼핑몰,20260528234642,2025
5,경기도,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,쇼핑,백화점,20260528234642,2025
6,서울특별시,더현대서울,서울 영등포구 여의대로 108-0,쇼핑,백화점,20260528234642,2025
7,경기도,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,20260528234642,2025
8,강원특별자치도,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장,20260528234642,2025
9,경기도,현대프리미엄아울렛스페이스원,경기 남양주시 다산순환로 50-0,쇼핑,쇼핑몰,20260528234642,2025
10,인천광역시,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑,쇼핑몰,20260528234642,2025
11,서울특별시,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,20260528234642,2025
12,경기도,신세계프리미엄아울렛여주점,경기 여주시 명품로 360-0,쇼핑,쇼핑몰,20260528234642,2025
13,경기도,롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124-0,쇼핑,쇼핑몰,20260528234642,2025
14,서울특별시,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,20260528234642,2025
15,서울특별시,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점,20260528234642,2025
16,서울특별시,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑,쇼핑몰,20260528234642,2025
17,서울특별시,HDC아이파크몰용산점,서울 용산구 한강대로23길 55-0,쇼핑,백화점,20260528234642,2025
18,경기도,신세계프리미엄아울렛파주점,경기 파주시 필승로 200-0,쇼핑,쇼핑몰,20260528234642,2025
19,경기도,스타필드안성,경기 안성시 서동대로 3930-39,쇼핑,쇼핑몰,20260528234642,2025
20,경기도,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑,쇼핑몰,20260528234642,2025
21,부산광역시,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑,백화점,20260528234642,2025
22,서울특별시,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰,20260528234642,2025
23,서울특별시,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰,20260528234642,2025
24,경기도,롯데백화점동탄점,경기 화성시 동탄역로 160-0,쇼핑,백화점,20260528234642,2025
25,부산광역시,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑,쇼핑몰,20260528234642,2025
26,인천광역시,인스파이어엔터테인먼트리조트,인천 중구 공항문화로 127-0,숙박,콘도미니엄,20260528234642,2025
27,서울특별시,노량진수산시장,서울 동작구 노들로 674-0,쇼핑,시장,20260528234642,2025
28,경기도,롯데프리미엄아울렛의왕점,경기 의왕시 바라산로 1-0,쇼핑,쇼핑몰,20260528234642,2025
29,경기도,롯데프리미엄아울렛파주점,경기 파주시 회동길 390-0,쇼핑,쇼핑몰,20260528234642,2025
30,인천광역시,롯데백화점인천점,인천 미추홀구 연남로 35-0,쇼핑,백화점,20260528234642,2025
31,대전광역시,신세계백화점대전신세계Art&Science,대전 유성구 엑스포로 1-0,쇼핑,백화점,20260528234642,2025
32,경상남도,롯데프리미엄아울렛김해점,경남 김해시 장유로 469-0,쇼핑,쇼핑몰,20260528234642,2025
33,대구광역시,신세계백화점대구신세계점,대구 동구 동부로 149-0,쇼핑,백화점,20260528234642,2025
34,대전광역시,현대프리미엄아울렛대전점,대전 유성구 테크노중앙로 123-0,쇼핑,쇼핑몰,20260528234642,2025
35,서울특별시,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑,쇼핑몰,20260528234642,2025
36,경기도,롯데프리미엄아울렛이천점,경기 이천시 프리미엄아울렛로 177-74,쇼핑,쇼핑몰,20260528234642,2025
37,부산광역시,신세계사이먼부산프리미엄아울렛,부산 기장군 정관로 1133-0,쇼핑,쇼핑몰,20260528234642,2025
38,경기도,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,문화관광,전시시설,20260528234642,2025
39,서울특별시,롯데백화점본점,서울 중구 남대문로 81-0,쇼핑,백화점,20260528234642,2025
40,경기도,신세계백화점사우스시티점,경기 용인시 수지구 포은대로 536-0,쇼핑,백화점,20260528234642,2025
41,부산광역시,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑,백화점,20260528234642,2025
42,서울특별시,현대백화점목동점,서울 양천구 목동동로 257-0,쇼핑,백화점,20260528234642,2025
43,대전광역시,성심당본점,대전 중구 대종로480번길 15-0,음식,간이음식,20260528234642,2025
44,서울특별시,롯데월드잠실점,서울 송파구 올림픽로 240-0,문화관광,테마공원,20260528234642,2025
