date,visitor_count,visitor_count_prev,visitor_growth_rate,tourism_spending,tourism_spending_prev,spending_growth_rate,source_group
2020-01-01,24372.0,21603.0,12.8,11902.0,12389.0,-3.9,20260610202916
2020-02-01,17853.0,22037.0,-19.0,9162.0,11242.0,-18.5,20260610202916
2020-03-01,17702.0,27120.0,-34.7,8707.0,13073.0,-33.4,20260610202916
2020-04-01,18499.0,20723.0,-10.7,9659.0,11604.0,-16.8,20260610202916
2020-05-01,22123.0,23960.0,-7.7,11478.0,12886.0,-10.9,20260610202916
2020-06-01,20216.0,22976.0,-12.0,10768.0,12150.0,-11.4,20260610202916
2020-07-01,22437.0,26237.0,-14.5,11069.0,12068.0,-8.3,20260610202916
2020-08-01,22330.0,29304.0,-23.8,11031.0,13128.0,-16.0,20260610202916
2020-09-01,19717.0,26962.0,-26.9,10470.0,11960.0,-12.4,20260610202916
2020-10-01,23523.0,25287.0,-7.0,11455.0,12860.0,-10.9,20260610202916
2020-11-01,20358.0,25284.0,-19.5,10721.0,12546.0,-14.5,20260610202916
2020-12-01,17595.0,23321.0,-24.6,9097.0,13041.0,-30.2,20260610202916
2021-01-01,17047.0,24372.0,-30.0,8905.0,11902.0,-25.2,20260610203132
2021-02-01,19043.0,17853.0,6.7,9486.0,9162.0,3.5,20260610203132
2021-03-01,22356.0,17702.0,26.3,10847.0,8707.0,24.6,20260610203132
2021-04-01,19542.0,18499.0,5.6,11040.0,9659.0,14.3,20260610203132
2021-05-01,21716.0,22123.0,-1.8,11780.0,11478.0,2.6,20260610203132
2021-06-01,20284.0,20216.0,0.3,11203.0,10768.0,4.0,20260610203132
2021-07-01,21012.0,22437.0,-6.4,11173.0,11069.0,0.9,20260610203132
2021-08-01,21338.0,22330.0,-4.4,11032.0,11031.0,0.0,20260610203132
2021-09-01,22787.0,19717.0,15.6,11677.0,10470.0,11.5,20260610203132
2021-10-01,23006.0,23523.0,-2.2,12959.0,11455.0,13.1,20260610203132
2021-11-01,21544.0,20358.0,5.8,12523.0,10721.0,16.8,20260610203132
2021-12-01,20736.0,17595.0,17.8,11995.0,9097.0,31.9,20260610203132
2022-01-01,21720.0,17047.0,27.4,11702.0,8905.0,31.4,20260610203238
2022-02-01,18310.0,19043.0,-3.8,9329.0,9486.0,-1.6,20260610203238
2022-03-01,21846.0,22356.0,-2.3,11324.0,10847.0,4.4,20260610203238
2022-04-01,22501.0,19542.0,15.1,13115.0,11040.0,18.8,20260610203238
2022-05-01,24104.0,21716.0,11.0,14617.0,11780.0,24.1,20260610203238
2022-06-01,22796.0,20284.0,12.4,13415.0,11203.0,19.7,20260610203238
2022-07-01,27099.0,21012.0,29.0,14210.0,11173.0,27.2,20260610203238
2022-08-01,25178.0,21338.0,18.0,13757.0,11032.0,24.7,20260610203238
2022-09-01,25626.0,22787.0,12.5,13410.0,11677.0,14.8,20260610203238
2022-10-01,25738.0,23006.0,11.9,15060.0,12959.0,16.2,20260610203238
2022-11-01,22824.0,21544.0,5.9,13479.0,12523.0,7.6,20260610203238
