region,visitor_increase_rate_top,year,source_group
부산광역시,7.7,2025,20260528234642
세종특별자치시,7.7,2025,20260528234642
대전광역시,7.5,2025,20260528234642
광주광역시,7.0,2025,20260528234642
충청북도,6.8,2025,20260528234642
대구광역시,6.7,2025,20260528234642
서울특별시,6.3,2025,20260528234642
전북특별자치도,6.1,2025,20260528234642
충청남도,6.0,2025,20260528234642
경상남도,6.0,2025,20260528234642
경기도,5.5,2025,20260528234642
울산광역시,5.5,2025,20260528234642
경상북도,5.1,2025,20260528234642
전라남도,4.7,2025,20260528234642
인천광역시,4.6,2025,20260528234642
강원특별자치도,3.1,2025,20260528234642
제주특별자치도,2.3,2025,20260528234642
